strain	value
DBA/2J	0.984
DBA/2J	1.477
DBA/2J	1.148
DBA/2J	1.313
DBA/2J	1.148
DBA/2J	1.477
DBA/2J	1.969
DDY/JclSidSeyFrk	0.851
DDY/JclSidSeyFrk	1.703
DDY/JclSidSeyFrk	0.894
DDY/JclSidSeyFrk	0.851
DDY/JclSidSeyFrk	1.277
DDY/JclSidSeyFrk	0.851
DDY/JclSidSeyFrk	1.49
DDY/JclSidSeyFrk	0.745
DDY/JclSidSeyFrk	0.736
DDY/JclSidSeyFrk	1.391
DDY/JclSidSeyFrk	1.636
DDY/JclSidSeyFrk	0.654
DDY/JclSidSeyFrk	0.848
DDY/JclSidSeyFrk	0.436
DDY/JclSidSeyFrk	1.09
DDY/JclSidSeyFrk	0.636
DDY/JclSidSeyFrk	0.582
FVB/NJ	1.029
FVB/NJ	1.414
FVB/NJ	1.029
FVB/NJ	1.013
FVB/NJ	1.125
FVB/NJ	0.9
FVB/NJ	0.9
FVB/NJ	1.029
I/LnJ	0.993
I/LnJ	0.894
I/LnJ	0.702
I/LnJ	0.894
I/LnJ	0.681
I/LnJ	0.511
I/LnJ	0.766
I/LnJ	0.695
I/LnJ	0.596
I/LnJ	0.894
KK/HlJ	1.061
KK/HlJ	1.157
KK/HlJ	1.35
KK/HlJ	1.35
KK/HlJ	1.446
KK/HlJ	1.254
KK/HlJ	1.35
KK/HlJ	1.061
LG/J	0.714
LG/J	0.649
LG/J	0.893
LG/J	0.52
LG/J	0.649
LG/J	0.974
LG/J	0.974
LG/J	1.072
LG/J	0.877
LP/J	1.023
LP/J	1.429
LP/J	1.559
LP/J	1.169
LP/J	1.169
LP/J	1.218
LP/J	1.656
MA/MyJ	0.795
MA/MyJ	0.795
MA/MyJ	0.695
MA/MyJ	0.795
MA/MyJ	0.851
MA/MyJ	0.795
MA/MyJ	0.738
MRL/MpJ	1.636
MRL/MpJ	0.945
MRL/MpJ	1.68
MRL/MpJ	1.47
MRL/MpJ	1.26
MRL/MpJ	1.54
MRL/MpJ	1.102
MRL/MpJ	0.84
MRL/MpJ	1.4
NOD/LtJ	0.738
NOD/LtJ	0.894
NOD/LtJ	0.908
NOD/LtJ	0.681
NOD/LtJ	0.993
NOD/LtJ	0.894
NOD/LtJ	1.135
NOD/LtJ	1.093
NOD/LtJ	0.993
NON/LtJ	1.173
NON/LtJ	1.056
NON/LtJ	1.072
NON/LtJ	1.609
NON/LtJ	1.206
NON/LtJ	1.072
NON/LtJ	1.34
NON/LtJ	1.131
NOR/LtJ	1.103
NOR/LtJ	1.323
NOR/LtJ	0.882
NOR/LtJ	0.992
